video,cow_id,score,frames,duration,source_video,sha256,frame_gaps
001,87,1,139,4.6,0522091637_rgb,8198a281c3d2d9e098edb524878113b4f3254b547a233eca64ed09aba3b837c7,0
002,78,1,107,3.533333333333333,0522091730_rgb,a38d49ef05ce63467cc5193f5ab21129ca76b66d673d79bb47ce3a94edbab63d,0
003,1,1,113,3.7333333333333334,0522092758_rgb,87e6d967465a533bcad365ceffc1a100748b3d2bbee9332f9d05237908892541,0
004,45,2,125,4.133333333333333,0522092810_rgb,a9fbd4df0386a91d83431b1f41fb52aaa4ebe3732b78f2645b6e552713f6e8fb,0
005,65,1,153,5.066666666666666,0522093645_rgb,6610afca5495d86a501d8a20a987d3125cb6950c25700fe758f57620cbf17f0e,0
006,49,2,141,4.666666666666667,0522093847_rgb,6526ec217da81e762f375650d94a60d10c8f47942a88c46b522a0624f06b1e7c,0
007,90,2,136,4.5,0522094231_rgb,0b301aaf3cacdfaf9bd75a6e9a30c93ddc5a60ee747c066752182dd85aa4e3ef,0
008,28,1,124,4.1,0522094258_rgb,cb4266f21a1d315c50d7526cf4eed446a9a4323cbeb1a8657d327dbd440c338b,0
009,2,3,181,6.0,0522094622_rgb,98f52460960b6215cf46c9cefd17fac1194e8ca35862e3a04068b6d0c2ee4328,0
010,72,1,127,4.2,0522095109_rgb,ef605d0ba6af364c645fc726f120088c1d767974a5aa41f7f05ec175a845834d,0
011,47,4,155,5.133333333333334,0522095945_rgb,49551eecf3833effa32968cf574297bb85b3d291ce5b63cfa98a44421cab07f6,0
012,73,3,125,4.133333333333333,0522100602_rgb,c0da010609cfbd611b947aaa62b10818e33e240af64e4ac6b26c3435c42189a2,0
013,92,1,113,3.733333333333333,0522100626_rgb,dde81c822cfb8f66dae829c36e85c28155d2c319ea9f00cf3a311958cdbd8097,0
014,39,2,127,4.2,0522101624_rgb,1cb79d2f05eabcd59a19b5b78ea9dc5465ee538a093b174249f3f5f084da68d8,0
015,75,2,119,3.933333333333333,0522102023_rgb,ae7eb88e1fee31339df4f16ef3958f25a8ccc3166cfcc76c2b028c03880a17ca,0
016,84,2,133,4.4,0522102304_rgb,1b1ba40e0a3f4323d46d15c71f6b0cb3c8bd4979b42bb969569bb4993175374c,0
017,8,1,113,3.7333333333333334,0522102810_rgb,c72130d8801510d2ee9903f3b7e95da68df2c0eb7dbe3a91ea5e8fcc3502a7ad,0
018,9,4,160,5.3,0522103726_rgb,eb300670a1d80c916e1f9c8161730f3c4d31266cf5e9757e799155747c4a4e4f,0
019,82,1,145,4.800000000000001,0522104503_rgb,920bf7d50f34ae5bb0ab77b43f7ad725fc2dd776e450bb59c3b764f324c9da5a,0
020,20,2,136,4.5,0522104531_rgb,04fb63f708aa056733980368d32a92a69e86dc031f641ce8e1da5ca795ba5c8f,0
021,70,1,129,4.266666666666667,0522104654_rgb,5be8c804ee34a1a0e2f004279c67b7f0414dbe80220663decfd991be7ec8ee29,0
022,34,2,128,4.233333333333333,0522111836_rgb,e3621ca542b239c76409ad0f50748e3974e36b76d00fa3bf7b0d9362424ee5a0,0
023,44,1,144,4.766666666666667,0522112713_rgb,e7d859ec03ad851b50c95bded6c9e543fc433c47a4a8011cae71829b888125d4,0
024,89,1,103,3.4,0522112854_rgb,9d3bc1065a57052036ad11edb83a5f6005dd847b62e9618de37d7acff9f51073,0
025,81,4,116,3.833333333333333,0522113034_rgb,0e30265dbd760e199283cea15be4ea5ca79baba66aea91066955bdad2dc8e6a9,0
026,86,2,134,4.433333333333334,0522114400_rgb,03170a3274785175b61d2221b233c04326f5a7b3060d0058d97440d941363662,0
027,85,2,119,3.9333333333333336,0522114804_rgb,92a772320a0d73340f447d2becc9fa2ff8a1f4b8fa2593f9c7b57fe1cf381637,0
028,55,1,155,5.133333333333334,0522115330_rgb,4a10b5a71ccc17ec251567e2ba5123f21868300be2434f802c4a0ef1339c45ce,0
029,35,1,127,4.199999999999999,0522120801_rgb,f2450ee4f1e0d10a3b6b1d1be1c1cd0966a8fd5b70a507ffba8cf5bb788fee1e,0
030,57,2,111,3.666666666666667,0522121453_rgb,825dcce3e81a5b1846246d75ad06837d47ca8400e01e3f07e7a6870a3526d820,0
031,38,2,128,4.233333333333333,0522123358_rgb,d5a2025f57acca23123a61c1525ba8ab66fb24b286b89921cbe8b3fbd931f91a,0
032,19,1,110,3.6333333333333333,0522125015_rgb,89eda570de3dac55615d89d164764d30c35ca7d56647d6d4b60044f339dbfd81,0
033,46,4,173,5.733333333333333,0522125906_rgb,dbe8e6efdee7e31eb348653fed6e777b8a15efe1df600daa15b65819a3971ec1,0
